Site,Latitude,Longitude,Continent,Vegetation,Plot,FireFreq,FireSeason,FireStart,FireLast,SurveyYear,Duration,Grass Cover,Percent Cover,Percent Basal Cover,Grass Basal Area,Biomass dry ,Grass biomass dry weight (10^3Kgha^-1),Grass Biomass Dry (tonnes/ha),Grass Biomass fresh weight,Grass biomass dry weight (g/m2)
Limestone,34.558498,-111.328313,,,5A,0.125,NOV,1975,1999,2008,,6.945,,,,,,,,
Limestone,34.558498,-111.328313,,,5A,0.125,NOV,1975,1999,2007,,2.805,,,,,,,,
Limestone,34.558498,-111.328313,,,3E,0.25,NOV,1975,2003,2008,,4.13,,,,,,,,
Limestone,34.558498,-111.328313,,,3E,0.25,NOV,1975,2003,2007,,2.15,,,,,,,,
Limestone,34.558498,-111.328313,,,4C,0.25,NOV,1975,2003,2008,,4.035,,,,,,,,
Limestone,34.558498,-111.328313,,,4C,0.25,NOV,1975,2003,2007,,2.845,,,,,,,,
Limestone,34.558498,-111.328313,,,4E,0.25,NOV,1975,2003,2008,,0.88,,,,,,,,
Limestone,34.558498,-111.328313,,,4E,0.25,NOV,1975,2003,2007,,0.7,,,,,,,,
Limestone,34.558498,-111.328313,,,2B,0.1,NOV,1975,2005,2007,,3.1,,,,,,,,
Limestone,34.558498,-111.328313,,,2B,0.1,NOV,1975,2005,2008,,1.78,,,,,,,,
Limestone,34.558498,-111.328313,,,2E,0.1,NOV,1975,2005,2008,,1.355,,,,,,,,
Limestone,34.558498,-111.328313,,,2E,0.1,NOV,1975,2005,2007,,0.85,,,,,,,,
Limestone,34.558498,-111.328313,,,5D,0.1,NOV,1975,2005,2008,,4.095,,,,,,,,
Limestone,34.558498,-111.328313,,,5D,0.1,NOV,1975,2005,2007,,2.65,,,,,,,,
Limestone,34.558498,-111.328313,,,4F,0.1666667,NOV,1975,2005,2007,,13,,,,,,,,
Limestone,34.558498,-111.328313,,,4F,0.1666667,NOV,1975,2005,2008,,8.61,,,,,,,,
Limestone,34.558498,-111.328313,,,5B,0.1666667,NOV,1975,2005,2007,,6.07,,,,,,,,
Limestone,34.558498,-111.328313,,,5B,0.1666667,NOV,1975,2005,2008,,4.895,,,,,,,,
Limestone,34.558498,-111.328313,,,5F,0.1666667,NOV,1975,2005,2007,,3.58,,,,,,,,
Limestone,34.558498,-111.328313,,,5F,0.1666667,NOV,1975,2005,2008,,2.91,,,,,,,,
